"time_kyr_j2000","age_ma","eccentricity","obliquity_rad","precession_angle_rad","longitude_perihelion_rad","climatic_precession"
-53044,53.044,0.0189609824473684,0.404080063815467,-2.86691472503667,-15454.1835858154,0.0120431370933989
-53043,53.043,0.0187989449867512,0.405869345860691,-3.11796992846261,-15453.902537152,0.00746289975329983
-53042,53.042,0.0185874665881335,0.407649877938081,2.91500377264444,-15453.6234785583,0.00239267381299389
-53041,53.041,0.0184045525605258,0.409379955231082,2.66557231785983,-15453.3451036774,-0.00273101481304855
-53040,53.04,0.0182062053841447,0.411021053717261,2.4169098745144,-15453.0682469364,-0.0075134947070424
-53039,53.039,0.0180314590822533,0.412536962930856,2.16895049523376,-15452.7906969201,-0.0116531263047487
-53038,53.038,0.0178010621988856,0.413893309413505,1.92164074200052,-15452.515176827,-0.014751722684333
-53037,53.037,0.017622308451678,0.415061681135938,1.67488767140613,-15452.2410383944,-0.0167304333936458
-53036,53.036,0.0174191869102203,0.416009045361302,1.42862072701873,-15451.9654784505,-0.0173784671381638
-53035,53.035,0.017203526265472,0.416722977437035,1.18272014483991,-15451.6914982562,-0.0167369085022028
-53034,53.034,0.017007258597261,0.417173658140402,0.937095249587345,-15451.4174602353,-0.0148565770003955
-53033,53.033,0.0168114563399482,0.417361407204121,0.691619767692907,-15451.143620502,-0.0119472246895591
-53032,53.032,0.0166068104496342,0.417268118411704,0.446180057025736,-15450.8682696927,-0.00817680003355524
-53031,53.031,0.0163865211002253,0.41690704260214,0.200655856375942,-15450.5940559236,-0.00391597039254165
-53030,53.03,0.016191675700633,0.416269621576782,-0.0450791306228392,-15450.3190068174,0.000542022405457981
-53029,53.029,0.0159731771129391,0.41538474992087,-0.291131070142439,-15450.0419030588,0.00488241563955299
-53028,53.028,0.0157508027099163,0.414252686181793,-0.537634880550173,-15449.7656937131,0.00870873213608459
-53027,53.027,0.0155253468016139,0.412916325004866,-0.784664221251356,-15449.4879826127,0.0118118487240654
-53026,53.026,0.0153090385163379,0.411388294585042,-1.03235949958029,-15449.2084529474,0.0139149701539921
-53025,53.025,0.0150676108423564,0.409718591757356,-1.28075366045628,-15448.9268962415,0.0149052651092717
-53024,53.024,0.0148211073635545,0.407934183247813,-1.52997137337054,-15448.6461021546,0.0146617299311832
-53023,53.023,0.0145772924564056,0.406087400814224,-1.78001689778327,-15448.3620922213,0.0133002961395933
-53022,53.022,0.0143102628821176,0.40422034437233,-2.03096018157466,-15448.0766572447,0.0108846386465313
-53021,53.021,0.0140083495052372,0.402383003302318,-2.28279347628416,-15447.7902780454,0.00765990542209311
-53020,53.02,0.013726879336128,0.400624911267712,-2.5355084463229,-15447.5033451049,0.00395350973583554
-53019,53.019,0.0134202727664504,0.398995294282812,-2.78907018562779,-15447.2115416791,8.91745610012229e-06
-53018,53.018,0.0130725338526148,0.397540738474647,-3.04340526528017,-15446.9211425542,-0.00373018494900316
-53017,53.017,0.0127470293215298,0.396303719182177,2.98475526195046,-15446.6264924726,-0.00702200755719582
-53016,53.016,0.01237817882123,0.395323536291098,2.72916677742285,-15446.3333211503,-0.0095080247792272
-53015,53.015,0.0119989979512491,0.394629415561907,2.47314322226634,-15446.0348860956,-0.0110541749150629
-53014,53.014,0.0115555001545068,0.394238419467998,2.21685082926824,-15445.7399243962,-0.0114841240581068
-53013,53.013,0.0111558661406081,0.39416719852644,1.96044829803217,-15445.4424387243,-0.0109263012478536
-53012,53.012,0.0106743963695321,0.394419524640374,1.70410741054032,-15445.141925178,-0.00936404934265145
-53011,53.011,0.0102026122823482,0.394981796848718,1.44799719835517,-15444.8446239498,-0.00713321973902399
-53010,53.01,0.00969345401560235,0.395842069263157,1.19228273447988,-15444.5445771007,-0.00443199381482275
-53009,53.009,0.00919337908314216,0.396969668105992,0.937109154205483,-15444.2452326803,-0.00160854570211561
-53008,53.008,0.00862242131612567,0.398332090535257,0.682613366450508,-15443.943767157,0.00107438582196001
