Bowen_Soil_ID,Bowen_Sample_ID,MLA_sample_id,MLA_horizon_id,strat_height_m,d13C_VPDB,d18Ocarb_VPDB,d18Ocarb_VSMOW
PB-00-03-02,2A,PB-00-03-02-2A,PB-00-03-02,1480.8,-8.8,-9.6,21.023168
PB-00-03-02,3A,PB-00-03-02-3A,PB-00-03-02,1480.8,-9.3,-9.8,20.816984
PB-00-03-03,1A,PB-00-03-03-1A,PB-00-03-03,1481.3,-11.7,-10.4,20.198432
PB-00-03-03,1B,PB-00-03-03-1B,PB-00-03-03,1481.3,-11.8,-10.6,19.992248
PB-00-03-03,2A,PB-00-03-03-2A,PB-00-03-03,1481.3,-13,-10.9,19.682972
PB-00-03-03,2B,PB-00-03-03-2B,PB-00-03-03,1481.3,-12.4,-9.1,21.538628
PB-00-03-04,1A,PB-00-03-04-1A,PB-00-03-04,1482,-8.8,-9.2,21.435536
PB-00-03-04,1B,PB-00-03-04-1B,PB-00-03-04,1482,-8.9,-9.3,21.332444
PB-00-03-04,2A,PB-00-03-04-2A,PB-00-03-04,1482,-10,-10,20.6108
PB-00-03-04,2B,PB-00-03-04-2B,PB-00-03-04,1482,-9.3,-8.4,22.260272
PB-00-03-05,1A,PB-00-03-05-1A,PB-00-03-05,1482.7,-7.2,-10.5,20.09534
PB-00-03-05,1B,PB-00-03-05-1B,PB-00-03-05,1482.7,-9.2,-8.9,21.744812
PB-00-03-05,1C,PB-00-03-05-1C,PB-00-03-05,1482.7,-7.7,-8.2,22.466456
PB-00-03-05,2A,PB-00-03-05-2A,PB-00-03-05,1482.7,-8.5,-9.4,21.229352
PB-00-03-05,2B,PB-00-03-05-2B,PB-00-03-05,1482.7,-8.7,-9.4,21.229352
PB-00-03-06,1A,PB-00-03-06-1A,PB-00-03-06,1483.4,-9.5,-9.2,21.435536
PB-00-03-06,1B,PB-00-03-06-1B,PB-00-03-06,1483.4,-9.5,-8.8,21.847904
PB-00-03-06,2A,PB-00-03-06-2A,PB-00-03-06,1483.4,-9.3,-9,21.64172
PB-00-03-06,2B,PB-00-03-06-2B,PB-00-03-06,1483.4,-9.3,-9.2,21.435536
PB-00-03-07,1A,PB-00-03-07-1A,PB-00-03-07,1486,-11.2,-9.7,20.920076
PB-00-03-07,1B,PB-00-03-07-1B,PB-00-03-07,1486,-10.3,-9.9,20.713892
PB-00-03-07,2A,PB-00-03-07-2A,PB-00-03-07,1486,-10.8,-9.8,20.816984
PB-00-03-07,2B,PB-00-03-07-2B,PB-00-03-07,1486,-11.4,-9.8,20.816984
PB-00-03-08,1A,PB-00-03-08-1A,PB-00-03-08,1494.4,-9.9,-8.9,21.744812
PB-00-03-08,1B,PB-00-03-08-1B,PB-00-03-08,1494.4,-9.9,-8.9,21.744812
PB-00-03-08,2A,PB-00-03-08-2A,PB-00-03-08,1494.4,-9.7,-9.2,21.435536
