T47_C,d18Owater_vsmow,d18Ocarb_vsmow,contour_label
37,-15,10.655897516323307,starting d18Ow = -15 per mil
37,-10,15.786130498639636,starting d18Ow = -10 per mil
37,-5,20.916363480955965,starting d18Ow = -5 per mil
37,0,26.046596463272408,starting d18Ow = 0 per mil
37,5,31.176829445588737,starting d18Ow = 5 per mil
37,10,36.307062427905066,starting d18Ow = 10 per mil
37.5,-15,10.561337925438693,starting d18Ow = -15 per mil
37.5,-10,15.691090909831814,starting d18Ow = -10 per mil
37.5,-5,20.820843894224936,starting d18Ow = -5 per mil
37.5,0,25.950596878617944,starting d18Ow = 0 per mil
37.5,5,31.08034986301118,starting d18Ow = 5 per mil
37.5,10,36.21010284740419,starting d18Ow = 10 per mil
38,-15,10.467091042744869,starting d18Ow = -15 per mil
38,-10,15.59636561656589,starting d18Ow = -10 per mil
38,-5,20.725640190386912,starting d18Ow = -5 per mil
38,0,25.854914764207933,starting d18Ow = 0 per mil
38,5,30.984189338028955,starting d18Ow = 5 per mil
38,10,36.113463911849976,starting d18Ow = 10 per mil
38.5,-15,10.373155320022988,starting d18Ow = -15 per mil
38.5,-10,15.501953062764187,starting d18Ow = -10 per mil
38.5,-5,20.6307508055055,starting d18Ow = -5 per mil
38.5,0,25.759548548246585,starting d18Ow = 0 per mil
38.5,5,30.88834629098801,starting d18Ow = 5 per mil
38.5,10,36.01714403372921,starting d18Ow = 10 per mil
39,-15,10.27952921925555,starting d18Ow = -15 per mil
39,-10,15.407851702601988,starting d18Ow = -10 per mil
39,-5,20.536174185948425,starting d18Ow = -5 per mil
39,0,25.664496669294977,starting d18Ow = 0 per mil
39,5,30.792819152641414,starting d18Ow = 5 per mil
39,10,35.92114163598785,starting d18Ow = 10 per mil
39.5,-15,10.18621121254182,starting d18Ow = -15 per mil
39.5,-10,15.314060000422728,starting d18Ow = -10 per mil
39.5,-5,20.44190878830375,starting d18Ow = -5 per mil
39.5,0,25.569757576184657,starting d18Ow = 0 per mil
39.5,5,30.69760636406545,starting d18Ow = 5 per mil
39.5,10,35.82545515194647,starting d18Ow = 10 per mil
40,-15,10.093199782015176,starting d18Ow = -15 per mil
40,-10,15.220576430654887,starting d18Ow = -10 per mil
40,-5,20.347953079294484,starting d18Ow = -5 per mil
40,0,25.475329727934195,starting d18Ow = 0 per mil
40,5,30.602706376573906,starting d18Ow = 5 per mil
40,10,35.73008302521362,starting d18Ow = 10 per mil
40.5,-15,10.000493419760346,starting d18Ow = -15 per mil
40.5,-10,15.127399477728659,starting d18Ow = -10 per mil
40.5,-5,20.25430553569697,starting d18Ow = -5 per mil
40.5,0,25.381211593665284,starting d18Ow = 0 per mil
40.5,5,30.50811765163371,starting d18Ow = 5 per mil
40.5,10,35.63502370960191,starting d18Ow = 10 per mil
41,-15,9.908090627733031,starting d18Ow = -15 per mil
41,-10,15.034527635995687,starting d18Ow = -10 per mil
41,-5,20.16096464425823,starting d18Ow = -5 per mil
41,0,25.287401652520884,starting d18Ow = 0 per mil
41,5,30.41383866078354,starting d18Ow = 5 per mil
41,10,35.54027566904597,starting d18Ow = 10 per mil
41.5,-15,9.81598991767828,starting d18Ow = -15 per mil
41.5,-10,14.941959409646188,starting d18Ow = -10 per mil
41.5,-5,20.067928901614096,starting d18Ow = -5 per mil
41.5,0,25.193898393582003,starting d18Ow = 0 per mil
41.5,5,30.31986788554991,starting d18Ow = 5 per mil
41.5,10,35.44583737751782,starting d18Ow = 10 per mil
42,-15,9.724189811051133,starting d18Ow = -15 per mil
42,-10,14.849693312630052,starting d18Ow = -10 per mil
42,-5,19.97519681420897,starting d18Ow = -5 per mil
42,0,25.10070031578789,starting d18Ow = 0 per mil
42,5,30.226203817366923,starting d18Ow = 5 per mil
42,10,35.35170731894573,starting d18Ow = 10 per mil
42.5,-15,9.632688838937497,starting d18Ow = -15 per mil
42.5,-10,14.757727868576808,starting d18Ow = -10 per mil
42.5,-5,19.88276689821612,starting d18Ow = -5 per mil
42.5,0,25.007805927855316,starting d18Ow = 0 per mil
42.5,5,30.132844957494626,starting d18Ow = 5 per mil
42.5,10,35.25788398713394,starting d18Ow = 10 per mil
43,-15,9.541485541976158,starting d18Ow = -15 per mil
43,-10,14.666061610717179,starting d18Ow = -10 per mil
43,-5,19.7906376794582,starting d18Ow = -5 per mil
43,0,24.91521374819922,starting d18Ow = 0 per mil
43,5,30.03978981694013,starting d18Ow = 5 per mil
43,10,35.16436588568126,starting d18Ow = 10 per mil
