taxon,specimen_id,analysis_id,lmz,published_age_Ma,within_specimen_height_mm,d13Ccarb_VPDB,d18Ocarb_VSMOW,d18Ophosphate_VSMOW,regional_setting,possible_section,source,dataset,proxy_type,geographic_scope,stratigraphic_section,section_note
Coryphodon,88268,88268-10,Wa-6,53.01,70.1,NA,NA,16.5,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Coryphodon,88268,88268-9.5,Wa-6,53.01,67,NA,NA,15.6,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Coryphodon,88268,88268-9,Wa-6,53.01,64,NA,NA,NA,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),NA,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Coryphodon,88268,88268-8,Wa-6,53.01,58.2,13.4,19,14.7,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Coryphodon,88268,88268-7.5,Wa-6,53.01,54.9,NA,NA,14.9,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Coryphodon,88268,88268-7,Wa-6,53.01,51.7,13.3,19.1,15.3,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Coryphodon,88268,88268-6,Wa-6,53.01,45.7,12.8,19,14.7,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Coryphodon,88268,88268-5,Wa-6,53.01,40.4,13.6,17.4,15.5,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Coryphodon,88268,88268-4,Wa-6,53.01,34.1,12.8,20.1,15.5,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Coryphodon,88268,88268-3,Wa-6,53.01,28.9,12.5,20.7,16.3,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Coryphodon,88268,88268-2,Wa-6,53.01,23.5,13.3,20.4,16.1,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
