site,event,sample_label,depth_mbsf,depth_composite_mcd,Age_Ma,d13C_benthic_vpdb,d18O_benthic_vpdb,d18O_corrected_vpdb,bottom_water_temperature_C,source_record,dataset_doi,article_doi
ODP Site 1262,208-1262C,"208-1262C-11H-2,59-60",179.595,196.115,62.21396,1.37,0.53,0.706,7.28,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-11H-2,62-63",179.625,196.145,62.217949999999995,1.35,0.49,0.666,7.45,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-11H-2,65-66",179.655,196.175,62.221940000000004,1.39,0.48,0.648,7.53,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-11H-2,68-69",179.685,196.205,62.225919999999995,1.5,0.5,0.67,7.44,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-11H-2,71-72",179.715,196.235,62.229910000000004,1.49,0.56,0.74,7.14,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-11H-2,74-75",179.745,196.265,62.2339,1.45,0.53,0.713,7.25,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-11H-2,80-81",179.805,196.325,62.241870000000006,1.41,0.51,0.69,7.35,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-11H-2,83-84",179.835,196.355,62.24585,1.33,0.57,0.751,7.09,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-11H-2,86-87",179.865,196.385,62.24984,1.41,0.54,0.717,7.24,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-11H-2,89-90",179.895,196.415,62.25383,1.32,0.41,0.578,7.83,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-11H-2,91-92",179.915,196.435,62.25648,1.27,0.53,0.709,7.27,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-11H-2,96-97",179.965,196.485,62.26313,1.18,0.62,0.806,6.86,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-11H-2,99-100",179.995,196.515,62.26711,1.3,0.59,0.776,6.98,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-11H-2,102-103",180.025,196.545,62.2711,1.22,0.56,0.738,7.15,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-11H-2,105-106",180.055,196.575,62.27509,1.29,0.66,0.851,6.66,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-11H-2,108-109",180.085,196.605,62.27907,1.27,0.61,0.802,6.87,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-11H-2,109-110",180.095,196.615,62.2804,1.26,0.53,0.711,7.26,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-11H-2,114-115",180.145,196.665,62.28705,1.22,0.6,0.787,6.94,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-11H-2,117-118",180.175,196.695,62.29103,1.21,0.62,0.807,6.85,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-11H-2,120-121",180.205,196.725,62.295019999999994,1.14,0.49,0.663,7.47,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-11H-2,123-124",180.235,196.755,62.299,1.19,0.5,0.674,7.42,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-11H-2,126-127",180.265,196.785,62.302949999999996,1.08,0.38,0.542,7.99,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-11H-2,129-130",180.295,196.815,62.30685,1.15,0.41,0.576,7.84,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-11H-2,131-132",180.315,196.835,62.30946,1.1,0.36,0.521,8.08,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-11H-2,135-136",180.355,196.875,62.31466,1.27,0.53,0.711,7.26,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-11H-2,138-139",180.385,196.905,62.31857,1.22,0.48,0.655,7.5,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-11H-2,141-142",180.415,196.935,62.32247,1.27,0.36,0.517,8.09,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-11H-2,144-145",180.445,196.965,62.326370000000004,1.16,0.38,0.541,7.99,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-11H-2,147-148",180.475,196.995,62.33028,1.21,0.44,0.61,7.69,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
