Age_Ma,Harper2024_mean_CO2_ppm,Harper2024_CO2_lower95_ppm,Harper2024_CO2_upper95_ppm,Harper2024_mean_SST_C,Harper2024_SST_lower95_C,Harper2024_SST_upper95_C
55.882,2187.993444,1802.50786,2654.011994,40.08611462,39.07068132,40.89335988
55.872,2082.083123,1712.881599,2526.924846,39.44199871,38.35930519,40.33645496
55.869,2085.339391,1705.164928,2539.549552,39.36960557,38.33929916,40.2191557
55.865,2090.974673,1705.080218,2547.028418,38.61433824,37.69937815,39.27986788
55.859,2100.114153,1705.976362,2566.996401,39.22539716,38.20315784,40.06252754
55.853,2052.962043,1684.161391,2492.021013,38.49623421,37.59252871,39.17124554
55.849,2071.820991,1709.401009,2502.109125,37.74716707,36.52217415,38.85304231
55.848,2070.184254,1708.912654,2488.736751,37.68011702,36.41996602,38.80420558
55.846,2036.926031,1684.740827,2443.709437,37.66616759,36.41888229,38.80600044
55.843,1989.862231,1636.033442,2407.997771,37.63650548,36.59287723,38.51352552
55.833,1816.15819,1481.979796,2208.172337,37.35957744,35.83719962,38.74881376
55.822,1679.059776,1377.325755,2028.055545,37.15166649,36.21724961,37.85231414
55.82,1653.050387,1357.866518,1995.563597,37.21786299,36.27071061,37.98934642
55.817,1618.122384,1345.187638,1941.952205,36.95126732,36.01830158,37.68427502
55.815,1595.161438,1328.439012,1901.075467,36.76087526,35.64556891,37.73844083
55.805,1448.22276,1204.745159,1727.494625,36.26894146,35.30117859,37.03643463
55.803,1415.321832,1178.091558,1692.78317,36.64898713,35.58320653,37.58310361
55.8,1369.030858,1146.727159,1634.446862,37.3145429,36.21741725,38.27477324
55.798,1336.271606,1120.050876,1586.333095,37.65071102,36.6954842,38.42051333
55.796,1313.610095,1103.757243,1555.959184,36.60414357,35.668242,37.35670353
55.794,1289.205173,1083.73573,1521.255308,36.566808,35.43618308,37.56273408
55.788,1387.92475,1181.112934,1630.737605,36.80153597,35.41786621,38.07448057
55.781,1402.697422,1170.688013,1676.334428,36.53869433,35.61388949,37.25588382
55.776,1390.64068,1151.91366,1672.734801,36.96363577,35.95742953,37.8046343
55.774,1393.048866,1145.666806,1680.640558,36.05750388,35.01870797,36.93538532
55.772,1380.440372,1132.666297,1671.658415,37.79010084,36.75350214,38.68434128
55.765,1374.278362,1126.197289,1666.318609,37.05706049,36.02203346,37.92132224
55.761,1367.199787,1120.285188,1655.06523,37.15728025,36.03573403,38.13803071
55.759,1363.528079,1117.035462,1654.807104,37.15710373,36.1689671,37.98499191
55.753,1358.374472,1118.386466,1635.757628,36.16340739,35.12152968,37.05844796
55.749,1346.846878,1113.698017,1611.685076,37.36725378,36.32179652,38.28103872
55.741,1331.343425,1116.935964,1568.036587,37.24896342,35.84981229,38.5181027
55.739,1323.685511,1117.211113,1557.747768,37.14936779,35.80226107,38.42006493
55.734,1345.091005,1127.758813,1593.437364,36.64526014,35.59118687,37.5523361
55.732,1355.163616,1131.587604,1613.197949,36.17011956,35.09805668,37.071647659999996
55.722,1382.061607,1157.177307,1639.07473,37.10895143,35.60351538,38.524425
55.715,1441.460509,1225.12387,1686.897291,37.59003328,36.24183393,38.83160314
55.712,1430.491165,1212.181948,1679.529029,38.00301436,36.93691625,38.94832848
55.71,1430.684029,1209.357366,1683.452187,36.72975828,35.68609032,37.63182706
55.708,1432.162849,1200.690239,1694.143335,36.17582436,35.13348821,37.08196632
55.698,1423.665808,1158.209714,1736.090354,37.02083606,36.06582993,37.77108036
55.697,1422.901624,1160.118029,1731.546054,36.7308299,35.80986789,37.44767644
55.686,1404.335295,1113.902583,1746.062628,37.17398945,36.13743048,38.05574574
55.679,1396.431889,1095.262316,1760.426213,37.07544608,36.04842273,37.96242393
55.674,1388.176596,1083.240945,1761.830029,37.49705093,36.53602046,38.27087302
55.673,1387.553267,1077.484474,1765.179063,37.53438803,36.47664529,38.44518488
55.66,1370.413656,1035.015869,1779.013582,37.92069383,36.83985044,38.84537682
55.649,1365.746151,1025.350265,1787.656973,36.48602079,35.53267261,37.19780199
55.644,1355.615798,1003.758596,1775.089801,37.12183549,36.09109569,38.00610972
55.628,1332.006171,977.8346576,1770.918726,38.00330902,36.92702979,38.93624963
55.622,1324.126902,966.6768628,1774.777982,38.32895334,37.31366998,39.18118643
55.619,1322.559178,967.3613717,1773.436585,38.29996786,37.04827255,39.46364296
55.607,1302.999031,950.49775,1752.574751,37.19248862,36.10336864,38.12773323
55.594,1283.549013,930.837261,1727.369115,36.8011815,35.86744535,37.51893157
55.589,1275.280062,922.3392185,1712.216308,36.70891251,35.77332808,37.43227902
55.56,1227.488692,887.8081276,1647.229037,38.01245527,37.07491203,38.73772881
55.553,1218.926407,883.5466391,1632.833293,37.33517824,36.28604324,38.23100932
55.55,1212.15101,875.8071948,1626.978186,37.67894645,36.61985938,38.58892189
55.52,1172.369441,866.7290882,1549.408334,37.13363737,36.16993708,37.87693018
55.485,1108.462249,855.2423334,1407.970318,36.63620255,34.5324929,38.73729557
55.45,1055.243257,888.536788,1241.287099,36.70278674,35.76521913,37.42431534
55.448,1030.909545,873.9711487,1212.172528,36.84243044,35.65271256,37.95219009
55.411,1041.145685,800.6330063,1328.148079,36.29608804,34.16175753,38.42854474
55.376,1057.957398,776.5007928,1404.750297,36.39882143,35.47310287,37.12071203
55.345,1062.33721,759.4174572,1439.902224,36.0168638,33.90671118,38.08155686
55.332,1063.295901,757.0187951,1448.694207,35.75979684,33.49531889,37.94595844
55.257,1085.110678,764.5082452,1482.705847,37.48954077,36.40326813,38.44652869
55.197,1109.307417,827.5436125,1457.604435,36.68463431,35.79532865,37.31567408
55.138,1131.343965,944.4584989,1345.132948,36.44206482,35.58904853,37.07033099
55.079,1108.851326,823.9671847,1459.541622,36.7937498,35.91023135,37.42115733
55.021,1104.10358,792.9684009,1501.900284,37.39887987,36.29673125,38.35861101
55.011,1106.147754,792.534755,1513.689946,37.26098655,36.3269232,37.98426891
54.963,1088.992184,773.6854369,1478.359913,36.88711109,35.75873626,37.87919448
54.936,1081.470331,782.528451,1453.623029,36.46521963,35.54109096,37.18601422
54.916,1072.542854,793.519704,1425.315827,37.34018586,36.22705883,38.29368497
54.895,1065.806768,811.6509436,1375.567172,36.88704503,35.96026402,37.61979394
54.865,1065.239859,859.4923343,1301.282608,37.06274109,35.95251321,38.00546833
54.853,1067.607955,892.1317154,1267.169173,36.5822037,35.6358885,37.32063988
54.777,1093.243077,790.2770105,1470.31669,36.48102777,34.76331926,38.14878556
54.769,1099.275127,785.7185843,1486.631568,36.85832021,35.74473625,37.81199475
54.696,1150.084738,794.4780301,1617.208359,36.82980419,35.87239208,37.57445675
54.684,1149.468576,788.8141543,1619.575607,36.78643154,35.88058967,37.49691009
