T47_C,n_paths,mean_d18Ocarb_vsmow,median_d18Ocarb_vsmow,lower95_d18Ocarb_vsmow,upper95_d18Ocarb_vsmow,lower80_d18Ocarb_vsmow,upper80_d18Ocarb_vsmow,lower50_d18Ocarb_vsmow,upper50_d18Ocarb_vsmow
91,241,17.99913562396625,17.79760230927002,11.331946667285138,25.045152347462135,13.319648806257646,22.906193601514246,15.007530643749874,20.841880992752863
92,234,18.03824175491167,17.839874503928968,11.125365417690091,25.164395968406964,13.267742717166765,23.04705130637207,15.07519920778202,20.86704096303967
93,222,17.895285392972976,17.672562534535587,10.853142367451248,25.35324587592065,13.124263544000133,23.084477842927598,14.93986226858621,20.823138081869274
94,210,17.889749846246062,17.728061265886993,10.576510972692386,25.063907646175963,13.163105580786283,23.092418420653324,14.849100417422704,20.85223434197212
95,198,17.768804918529675,17.66150129357237,10.346327156505735,24.922414114759693,13.02319876990524,22.454327331014532,14.699476932118785,20.82989332245853
96,188,17.577972843836694,17.560641498052178,10.221281266461506,24.57011525122317,12.775581079724544,22.13000664703126,14.651666741653656,20.550607018326076
97,182,17.562822516800043,17.560635129554157,10.3778817651956,24.67574194349656,12.70721813335814,22.154922147387165,14.531064022926046,20.63131278909782
98,173,17.486099391265814,17.52908426634383,10.153264359069102,24.824709856906786,12.519224982296485,22.06167996833931,14.490530190462323,20.539111944718
99,165,17.472130696519542,17.4408482179947,10.381163697303158,24.9655000901832,12.425524438898083,22.069898785029224,14.396201891094734,20.628545836890112
100,159,17.465346512716078,17.443323548872968,10.236707159809505,25.096276605808324,12.360804060263513,22.147848193466555,14.341020421429505,20.6323402188861
101,157,17.30538128241486,17.280946125775586,10.097974577563548,24.57417287450078,12.23681320205426,21.98549967872693,14.25765464031167,20.60234241859564
102,153,17.135114158041006,17.158158545938477,9.937094243457341,24.07136809895901,12.100463325851228,21.993985584818166,14.117495435641672,20.30020021317989
103,143,16.9616186638395,17.116379709683656,9.705972856929947,23.86047362218674,11.941376133474682,21.995267026278476,13.782067194456431,20.254339832708638
104,128,16.79528428679359,16.78229733152341,9.788933541411726,23.65100613700303,11.765603047244372,22.037307685809573,13.495392124281352,20.205256712182717
105,117,16.811682123375576,16.880583433920265,9.687598644497166,23.84727597336391,11.640520455677166,21.944249803497748,13.689943610923933,20.137572506502238
106,108,16.593864216311953,16.588098835846665,9.564931522652827,23.37407305485891,11.452131444543465,21.914961761473922,13.132116157868637,19.650822159160555
107,103,16.494870061848232,16.43347254515311,9.442797542955555,23.500280425844494,11.31834334600021,22.04168408826756,12.929755612911038,19.744970748231196
